name,type,variable,value,year,crime_type
"New York, New York",place,rate,10.66497305,2008,Forcible rape
"New York, New York",place,rate,161.2613617,2007,Motor vehicle theft
"New York, New York",place,rate,1339.450609,2009,Larceny
"New York, New York",place,rate,551.8094653,2009,Violent crime
"New York, New York",place,rate,6.271405739,2011,Murder and nonnegligent manslaughter
"New York, New York",place,rate,371.2559615,2014,Aggravated assault
"New York, New York",place,rate,4864.628532,2007,All Crimes
"New York, New York",place,rate,91.15006506,2014,Motor vehicle theft
"New York, New York",place,rate,223.5472908,2009,Burglary
"New York, New York",place,rate,639.2851607,2012,Violent crime
"New York, New York",place,rate,221.3689546,2009,Robbery
"New York, New York",place,rate,4722.962959,2012,All Crimes
"New York, New York",place,rate,195.6705371,2014,Robbery
"New York, New York",place,rate,265.8574069,2008,Robbery
"New York, New York",place,rate,1601.935251,2014,Property crime
"New York, New York",place,rate,1879.191442,2006,Property crime
"New York, New York",place,rate,5.606537485,2009,Murder and nonnegligent manslaughter
"New York, New York",place,rate,235.2206729,2010,Robbery
"New York, New York",place,rate,14.01787702,2012,Forcible rape
"New York, New York",place,rate,1818.545446,2007,Property crime
"New York, New York",place,rate,25.84394646,2014,Rape (revised definition)
"New York, New York",place,rate,297.5527482,2008,Aggravated assault
"New York, New York",place,rate,224.8047661,2012,Burglary
"New York, New York",place,rate,6.429940876,2010,Murder and nonnegligent manslaughter
"New York, New York",place,rate,623.5969252,2011,Violent crime
"New York, New York",place,rate,88.54083419,2013,Motor vehicle theft
"New York, New York",place,rate,1797.335554,2008,Property crime
"New York, New York",place,rate,4668.020397,2011,All Crimes
"New York, New York",place,rate,187.8229461,2014,Burglary
"New York, New York",place,rate,287.9485257,2006,Robbery
"New York, New York",place,rate,221.1309841,2011,Burglary
"New York, New York",place,rate,1398.590854,2012,Larceny
"New York, New York",place,rate,123.788358,2010,Motor vehicle theft
"New York, New York",place,rate,376.5163163,2012,Aggravated assault
"New York, New York",place,rate,98.80069945,2012,Motor vehicle theft
"New York, New York",place,rate,265.0423421,2007,Robbery
"New York, New York",place,rate,613.7688201,2007,Violent crime
"New York, New York",place,rate,596.7001411,2014,Violent crime
"New York, New York",place,rate,327.6030884,2010,Aggravated assault
"New York, New York",place,rate,215.0431346,2010,Burglary
"New York, New York",place,rate,1722.196319,2012,Property crime
"New York, New York",place,rate,581.6817222,2010,Violent crime
"New York, New York",place,rate,329.5529296,2006,Aggravated assault
"New York, New York",place,rate,1404.588259,2013,Larceny
"New York, New York",place,rate,1336.012155,2010,Larceny
"New York, New York",place,rate,5034.218612,2006,All Crimes
"New York, New York",place,rate,10.64451505,2007,Forcible rape
"New York, New York",place,rate,4484.206289,2009,All Crimes
"New York, New York",place,rate,1710.413273,2011,Property crime
"New York, New York",place,rate,271.1206037,2006,Burglary
"New York, New York",place,rate,228.3195845,2013,Robbery
"New York, New York",place,rate,314.9302807,2009,Aggravated assault
"New York, New York",place,rate,1674.843648,2010,Property crime
"New York, New York",place,rate,149.0699604,2008,Motor vehicle theft
"New York, New York",place,rate,195.1745015,2006,Motor vehicle theft
"New York, New York",place,rate,637.9178643,2006,Violent crime
"New York, New York",place,rate,1374.399878,2011,Larceny
"New York, New York",place,rate,238.0685614,2008,Burglary
"New York, New York",place,rate,1690.293679,2009,Property crime
"New York, New York",place,rate,1402.861927,2007,Larceny
"New York, New York",place,rate,9.903692542,2009,Forcible rape
"New York, New York",place,rate,580.3422977,2008,Violent crime
"New York, New York",place,rate,4513.050741,2010,All Crimes
"New York, New York",place,rate,240.7854479,2011,Robbery
"New York, New York",place,rate,12.42802005,2010,Forcible rape
"New York, New York",place,rate,197.7816912,2013,Burglary
"New York, New York",place,rate,1322.96224,2014,Larceny
"New York, New York",place,rate,1412.896336,2006,Larceny
"New York, New York",place,rate,13.29781566,2011,Forcible rape
"New York, New York",place,rate,6.267169558,2008,Murder and nonnegligent manslaughter
"New York, New York",place,rate,363.2422559,2011,Aggravated assault
"New York, New York",place,rate,5.054638958,2012,Murder and nonnegligent manslaughter
"New York, New York",place,rate,127.2957789,2009,Motor vehicle theft
"New York, New York",place,rate,1690.910784,2013,Property crime
"New York, New York",place,rate,13.11696104,2006,Forcible rape
"New York, New York",place,rate,243.6963284,2012,Robbery
