key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2006--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,336.2464073,2006,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2006--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,10763.33508,2006,All Crimes,"Colorado Springs, CO"
1600000US0816000--2006--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,30.51960287,2006,Arson,"Colorado Springs, CO"
1600000US0816000--2006--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,888.2531375,2006,Burglary,"Colorado Springs, CO"
1600000US0816000--2006--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3434.118793,2006,Larceny,"Colorado Springs, CO"
1600000US0816000--2006--MV theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,474.7788656,2006,MV theft,"Colorado Springs, CO"
1600000US0816000--2006--Murder-Manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3.980817766,2006,Murder-Manslaughter,"Colorado Springs, CO"
1600000US0816000--2006--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4797.150796,2006,Property crime,"Colorado Springs, CO"
1600000US0816000--2006--Rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,66.61235062,2006,Rape,"Colorado Springs, CO"
1600000US0816000--2006--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,162.4173649,2006,Robbery,"Colorado Springs, CO"
1600000US0816000--2006--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,569.2569406,2006,Violent crime,"Colorado Springs, CO"
1600000US0816000--2007--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,306.0580789,2007,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2007--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9940.071422,2007,All Crimes,"Colorado Springs, CO"
1600000US0816000--2007--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,29.13565991,2007,Arson,"Colorado Springs, CO"
1600000US0816000--2007--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,849.7455308,2007,Burglary,"Colorado Springs, CO"
1600000US0816000--2007--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3177.658028,2007,Larceny,"Colorado Springs, CO"
1600000US0816000--2007--MV theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,397.4745531,2007,MV theft,"Colorado Springs, CO"
1600000US0816000--2007--Murder-Manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,7.217090069,2007,Murder-Manslaughter,"Colorado Springs, CO"
1600000US0816000--2007--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4424.878111,2007,Property crime,"Colorado Springs, CO"
1600000US0816000--2007--Rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,76.18039518,2007,Rape,"Colorado Springs, CO"
1600000US0816000--2007--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,141.1342058,2007,Robbery,"Colorado Springs, CO"
1600000US0816000--2007--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,530.5897699,2007,Violent crime,"Colorado Springs, CO"
1600000US0816000--2008--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,296.5092771,2008,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2008--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9577.091091,2008,All Crimes,"Colorado Springs, CO"
1600000US0816000--2008--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,28.54099994,2008,Arson,"Colorado Springs, CO"
1600000US0816000--2008--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,899.0414981,2008,Burglary,"Colorado Springs, CO"
