key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2006--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4797.150796030859,2006,Property crime,"Colorado Springs, CO"
1600000US0816000--2008--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,36240.0,2008,All Crimes,"Colorado Springs, CO"
1600000US0816000--2012--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,416.8526927712376,2012,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2008--Forcible rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,88.52995351516769,2008,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2013--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,18175.0,2013,Property crime,"Colorado Springs, CO"
1600000US0816000--2013--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,442.0923257541708,2013,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2013--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,434.06679079494074,2013,Violent crime,"Colorado Springs, CO"
1600000US0816000--2009--Forcible rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,85.65182533003343,2009,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2014--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,404.0,2014,Robbery,"Colorado Springs, CO"
1600000US0816000--2012--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9209.159655506644,2012,All Crimes,"Colorado Springs, CO"
1600000US0816000--2006--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1267.0,2006,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2010--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9450.445605022544,2010,All Crimes,"Colorado Springs, CO"
1600000US0816000--2007--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,285.0,2007,Forcible rape,"Colorado Springs, CO"
