key,id,name,type,variable,value,year,crime_type,place_name
1600000US4827000--2010--Forcible rape--count,1600000US4827000,"Fort Worth, Texas",place,count,318.0,2010,Forcible rape,"Fort Worth, TX"
1600000US4827000--2010--Aggravated assault--count,1600000US4827000,"Fort Worth, Texas",place,count,2582.0,2010,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2011--Burglary--count,1600000US4827000,"Fort Worth, Texas",place,count,10058.0,2011,Burglary,"Fort Worth, TX"
1600000US4827000--2007--All Crimes--count,1600000US4827000,"Fort Worth, Texas",place,count,82537.0,2007,All Crimes,"Fort Worth, TX"
1600000US4827000--2008--Forcible rape--rate,1600000US4827000,"Fort Worth, Texas",place,rate,49.90411281181159,2008,Forcible rape,"Fort Worth, TX"
1600000US4827000--2013--Murder and nonnegligent manslaughter--count,1600000US4827000,"Fort Worth, Texas",place,count,48.0,2013,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2012--Forcible rape--rate,1600000US4827000,"Fort Worth, Texas",place,rate,50.77256100173873,2012,Forcible rape,"Fort Worth, TX"
1600000US4827000--2012--Murder and nonnegligent manslaughter--rate,1600000US4827000,"Fort Worth, Texas",place,rate,5.7135362764104975,2012,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2008--Burglary--rate,1600000US4827000,"Fort Worth, Texas",place,rate,1285.8151123911912,2008,Burglary,"Fort Worth, TX"
1600000US4827000--2009--Arson--rate,1600000US4827000,"Fort Worth, Texas",place,rate,29.027335456475587,2009,Arson,"Fort Worth, TX"
1600000US4827000--2013--Property crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,4343.5335568130695,2013,Property crime,"Fort Worth, TX"
1600000US4827000--2007--Forcible rape--rate,1600000US4827000,"Fort Worth, Texas",place,rate,49.94833701857632,2007,Forcible rape,"Fort Worth, TX"
1600000US4827000--2009--All Crimes--rate,1600000US4827000,"Fort Worth, Texas",place,rate,11119.128184713376,2009,All Crimes,"Fort Worth, TX"
1600000US4827000--2007--Arson--count,1600000US4827000,"Fort Worth, Texas",place,count,227.0,2007,Arson,"Fort Worth, TX"
1600000US4827000--2013--Rape (legacy definition)--count,1600000US4827000,"Fort Worth, Texas",place,count,,2013,Rape (legacy definition),"Fort Worth, TX"
1600000US4827000--2006--Larceny--rate,1600000US4827000,"Fort Worth, Texas",place,rate,3759.70779989778,2006,Larceny,"Fort Worth, TX"
1600000US4827000--2008--Property crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,5036.750814506413,2008,Property crime,"Fort Worth, TX"
1600000US4827000--2009--Violent crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,584.9699221514508,2009,Violent crime,"Fort Worth, TX"
1600000US4827000--2013--Property crime--count,1600000US4827000,"Fort Worth, Texas",place,count,34272.0,2013,Property crime,"Fort Worth, TX"
1600000US4827000--2013--Burglary--rate,1600000US4827000,"Fort Worth, Texas",place,rate,1053.9456424619948,2013,Burglary,"Fort Worth, TX"
1600000US4827000--2012--Forcible rape--count,1600000US4827000,"Fort Worth, Texas",place,count,391.0,2012,Forcible rape,"Fort Worth, TX"
1600000US4827000--2011--Murder and nonnegligent manslaughter--rate,1600000US4827000,"Fort Worth, Texas",place,rate,6.342469572662898,2011,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2007--Burglary--count,1600000US4827000,"Fort Worth, Texas",place,count,9008.0,2007,Burglary,"Fort Worth, TX"
1600000US4827000--2007--Forcible rape--count,1600000US4827000,"Fort Worth, Texas",place,count,335.0,2007,Forcible rape,"Fort Worth, TX"
1600000US4827000--2009--Robbery--rate,1600000US4827000,"Fort Worth, Texas",place,rate,200.28861464968156,2009,Robbery,"Fort Worth, TX"
1600000US4827000--2008--All Crimes--rate,1600000US4827000,"Fort Worth, Texas",place,rate,11416.350013188943,2008,All Crimes,"Fort Worth, TX"
1600000US4827000--2006--All Crimes--rate,1600000US4827000,"Fort Worth, Texas",place,rate,12714.724691157957,2006,All Crimes,"Fort Worth, TX"
1600000US4827000--2013--Murder and nonnegligent manslaughter--rate,1600000US4827000,"Fort Worth, Texas",place,rate,6.083380331670965,2013,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2012--Murder and nonnegligent manslaughter--count,1600000US4827000,"Fort Worth, Texas",place,count,44.0,2012,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2006--Burglary--rate,1600000US4827000,"Fort Worth, Texas",place,rate,1402.0992532941073,2006,Burglary,"Fort Worth, TX"
1600000US4827000--2010--Arson--count,1600000US4827000,"Fort Worth, Texas",place,count,138.0,2010,Arson,"Fort Worth, TX"
1600000US4827000--2009--Property crime--count,1600000US4827000,"Fort Worth, Texas",place,count,35884.0,2009,Property crime,"Fort Worth, TX"
1600000US4827000--2012--Violent crime--count,1600000US4827000,"Fort Worth, Texas",place,count,4524.0,2012,Violent crime,"Fort Worth, TX"
1600000US4827000--2013--All Crimes--count,1600000US4827000,"Fort Worth, Texas",place,count,77539.0,2013,All Crimes,"Fort Worth, TX"
1600000US4827000--2007--Violent crime--count,1600000US4827000,"Fort Worth, Texas",place,count,4474.0,2007,Violent crime,"Fort Worth, TX"
1600000US4827000--2008--Motor vehicle theft--count,1600000US4827000,"Fort Worth, Texas",place,count,2745.0,2008,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2006--All Crimes--count,1600000US4827000,"Fort Worth, Texas",place,count,81597.0,2006,All Crimes,"Fort Worth, TX"
1600000US4827000--2012--Property crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,4222.043602072975,2012,Property crime,"Fort Worth, TX"
1600000US4827000--2008--Burglary--count,1600000US4827000,"Fort Worth, Texas",place,count,9018.0,2008,Burglary,"Fort Worth, TX"
1600000US4827000--2012--Robbery--count,1600000US4827000,"Fort Worth, Texas",place,count,1280.0,2012,Robbery,"Fort Worth, TX"
1600000US4827000--2013--Larceny--count,1600000US4827000,"Fort Worth, Texas",place,count,23557.0,2013,Larceny,"Fort Worth, TX"
1600000US4827000--2008--Larceny--count,1600000US4827000,"Fort Worth, Texas",place,count,23562.0,2008,Larceny,"Fort Worth, TX"
1600000US4827000--2011--Burglary--rate,1600000US4827000,"Fort Worth, Texas",place,rate,1329.0116450384046,2011,Burglary,"Fort Worth, TX"
1600000US4827000--2009--Larceny--count,1600000US4827000,"Fort Worth, Texas",place,count,23564.0,2009,Larceny,"Fort Worth, TX"
1600000US4827000--2009--Aggravated assault--count,1600000US4827000,"Fort Worth, Texas",place,count,2369.0,2009,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2008--Aggravated assault--count,1600000US4827000,"Fort Worth, Texas",place,count,2496.0,2008,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2009--Robbery--count,1600000US4827000,"Fort Worth, Texas",place,count,1449.0,2009,Robbery,"Fort Worth, TX"
1600000US4827000--2013--All Crimes--rate,1600000US4827000,"Fort Worth, Texas",place,rate,9827.067240363227,2013,All Crimes,"Fort Worth, TX"
1600000US4827000--2006--Property crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,5683.348084618358,2006,Property crime,"Fort Worth, TX"
1600000US4827000--2013--Violent crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,560.1779388747016,2013,Violent crime,"Fort Worth, TX"
1600000US4827000--2009--Aggravated assault--rate,1600000US4827000,"Fort Worth, Texas",place,rate,327.4559890304317,2009,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2011--Larceny--rate,1600000US4827000,"Fort Worth, Texas",place,rate,2988.4923817690997,2011,Larceny,"Fort Worth, TX"
1600000US4827000--2007--Aggravated assault--count,1600000US4827000,"Fort Worth, Texas",place,count,2461.0,2007,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2006--Motor vehicle theft--rate,1600000US4827000,"Fort Worth, Texas",place,rate,521.54103142647,2006,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2009--Burglary--rate,1600000US4827000,"Fort Worth, Texas",place,rate,1408.2404458598724,2009,Burglary,"Fort Worth, TX"
1600000US4827000--2006--Motor vehicle theft--count,1600000US4827000,"Fort Worth, Texas",place,count,3347.0,2006,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2006--Murder and nonnegligent manslaughter--rate,1600000US4827000,"Fort Worth, Texas",place,rate,7.635348234208852,2006,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2009--Violent crime--count,1600000US4827000,"Fort Worth, Texas",place,count,4232.0,2009,Violent crime,"Fort Worth, TX"
1600000US4827000--2008--All Crimes--count,1600000US4827000,"Fort Worth, Texas",place,count,80068.0,2008,All Crimes,"Fort Worth, TX"
1600000US4827000--2013--Aggravated assault--rate,1600000US4827000,"Fort Worth, Texas",place,rate,328.6292750004752,2013,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2011--Motor vehicle theft--rate,1600000US4827000,"Fort Worth, Texas",place,rate,322.673139509225,2011,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2006--Aggravated assault--rate,1600000US4827000,"Fort Worth, Texas",place,rate,388.93528964459784,2006,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2007--Murder and nonnegligent manslaughter--count,1600000US4827000,"Fort Worth, Texas",place,count,58.0,2007,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2012--Motor vehicle theft--rate,1600000US4827000,"Fort Worth, Texas",place,rate,314.7639075913419,2012,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2012--Violent crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,587.4554116927518,2012,Violent crime,"Fort Worth, TX"
1600000US4827000--2013--Robbery--count,1600000US4827000,"Fort Worth, Texas",place,count,1256.0,2013,Robbery,"Fort Worth, TX"
1600000US4827000--2010--Robbery--rate,1600000US4827000,"Fort Worth, Texas",place,rate,178.18076103280538,2010,Robbery,"Fort Worth, TX"
1600000US4827000--2011--Aggravated assault--count,1600000US4827000,"Fort Worth, Texas",place,count,2904.0,2011,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2011--Violent crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,603.7238224478498,2011,Violent crime,"Fort Worth, TX"
1600000US4827000--2008--Robbery--rate,1600000US4827000,"Fort Worth, Texas",place,rate,243.24690416271596,2008,Robbery,"Fort Worth, TX"
1600000US4827000--2007--Property crime--count,1600000US4827000,"Fort Worth, Texas",place,count,36681.0,2007,Property crime,"Fort Worth, TX"
1600000US4827000--2009--Motor vehicle theft--count,1600000US4827000,"Fort Worth, Texas",place,count,2132.0,2009,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2008--Murder and nonnegligent manslaughter--rate,1600000US4827000,"Fort Worth, Texas",place,rate,6.986575793653621,2008,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2011--Violent crime--count,1600000US4827000,"Fort Worth, Texas",place,count,4569.0,2011,Violent crime,"Fort Worth, TX"
1600000US4827000--2006--Forcible rape--count,1600000US4827000,"Fort Worth, Texas",place,count,247.0,2006,Forcible rape,"Fort Worth, TX"
1600000US4827000--2010--Violent crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,575.1353436946115,2010,Violent crime,"Fort Worth, TX"
1600000US4827000--2010--Property crime--count,1600000US4827000,"Fort Worth, Texas",place,count,35090.0,2010,Property crime,"Fort Worth, TX"
1600000US4827000--2010--Murder and nonnegligent manslaughter--rate,1600000US4827000,"Fort Worth, Texas",place,rate,8.440141312080254,2010,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2006--Robbery--count,1600000US4827000,"Fort Worth, Texas",place,count,1417.0,2006,Robbery,"Fort Worth, TX"
