name,type,variable,value,year,crime_type,key,id,place_name
"Norfolk, Virginia",place,rate,3.262775807,2017,Arson,,,
"Norfolk, Virginia",place,rate,5.729556737,2018,Arson,,,
"Norfolk, Virginia",place,count,8,2017,Arson,,,
"Norfolk, Virginia",place,rate,8.13888188,2016,Arson,,,
"Norfolk, Virginia",place,rate,10.11826225,2014,Arson,,,
"Norfolk, Virginia",place,rate,11.32214328,2013,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,301.1409943,2015,Aggravated assault,,,
"Norfolk, Virginia",place,count,739,2015,Aggravated assault,,,
"Norfolk, Virginia",place,rate,11.80281965,2011,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,11.91149757,2008,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,11.95222525,2006,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,12.54664519,2014,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,13.86040937,2012,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,count,14,2018,Arson,,,
"Norfolk, Virginia",place,rate,14.46211564,2009,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,14.52370782,2010,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,14.68249113,2017,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,14.73314589,2018,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,15.46576368,2011,Arson,,,
"Norfolk, Virginia",place,rate,15.79619399,2007,Arson,,,
"Norfolk, Virginia",place,rate,17.38757718,2013,Arson,,,
"Norfolk, Virginia",place,rate,17.86496638,2009,Arson,,,
"Norfolk, Virginia",place,rate,18.71942832,2016,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,count,20,2016,Arson,,,
"Norfolk, Virginia",place,rate,21.06159199,2007,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,21.35839385,2010,Arson,,,
"Norfolk, Virginia",place,rate,23.64422775,2012,Arson,,,
"Norfolk, Virginia",place,rate,24.24840577,2008,Arson,,,
"Norfolk, Virginia",place,count,25,2014,Arson,,,
"Norfolk, Virginia",place,count,28,2006,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,count,28,2008,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,count,28,2013,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,8431.132844,2015,All Crimes,,,
"Norfolk, Virginia",place,count,20690,2015,All Crimes,,,
"Norfolk, Virginia",place,count,29,2011,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,30.57443244,2012,Forcible rape,,,
"Norfolk, Virginia",place,count,31,2014,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,32.44175425,2006,Arson,,,
"Norfolk, Virginia",place,rate,32.96649627,2011,Forcible rape,,,
"Norfolk, Virginia",place,count,34,2009,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,count,34,2010,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,count,34,2012,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,count,36,2007,Arson,,,
"Norfolk, Virginia",place,count,36,2017,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,count,36,2018,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,36.58531397,2008,Forcible rape,,,
"Norfolk, Virginia",place,count,38,2011,Arson,,,
"Norfolk, Virginia",place,rate,38.44510893,2010,Forcible rape,,,
"Norfolk, Virginia",place,count,42,2009,Arson,,,
"Norfolk, Virginia",place,rate,42.56196715,2007,Forcible rape,,,
"Norfolk, Virginia",place,rate,42.68651874,2006,Forcible rape,,,
"Norfolk, Virginia",place,count,43,2013,Arson,,,
"Norfolk, Virginia",place,rate,43.38634691,2009,Forcible rape,,,
"Norfolk, Virginia",place,rate,11.40994295,2015,Arson,,,
"Norfolk, Virginia",place,count,46,2016,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,47.88272416,2018,Rape (revised definition),,,
"Norfolk, Virginia",place,count,48,2007,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,49.37711978,2014,Rape (revised definition),,,
"Norfolk, Virginia",place,count,50,2010,Arson,,,
"Norfolk, Virginia",place,rate,53.30967632,2016,Rape (revised definition),,,
"Norfolk, Virginia",place,rate,54.18454285,2013,Rape (revised definition),,,
"Norfolk, Virginia",place,rate,55.05934173,2017,Rape (revised definition),,,
"Norfolk, Virginia",place,count,57,2008,Arson,,,
"Norfolk, Virginia",place,count,58,2012,Arson,,,
"Norfolk, Virginia",place,count,75,2012,Forcible rape,,,
"Norfolk, Virginia",place,count,76,2006,Arson,,,
"Norfolk, Virginia",place,count,81,2011,Forcible rape,,,
"Norfolk, Virginia",place,count,86,2008,Forcible rape,,,
"Norfolk, Virginia",place,count,90,2010,Forcible rape,,,
"Norfolk, Virginia",place,count,97,2007,Forcible rape,,,
"Norfolk, Virginia",place,count,100,2006,Forcible rape,,,
"Norfolk, Virginia",place,count,102,2009,Forcible rape,,,
"Norfolk, Virginia",place,count,28,2015,Arson,,,
"Norfolk, Virginia",place,count,117,2018,Rape (revised definition),,,
"Norfolk, Virginia",place,count,122,2014,Rape (revised definition),,,
"Norfolk, Virginia",place,count,131,2016,Rape (revised definition),,,
"Norfolk, Virginia",place,rate,131.3705509,2018,Robbery,,,
"Norfolk, Virginia",place,count,134,2013,Rape (revised definition),,,
"Norfolk, Virginia",place,count,135,2017,Rape (revised definition),,,
"Norfolk, Virginia",place,rate,151.311228,2017,Robbery,,,
"Norfolk, Virginia",place,rate,447.0252649,2015,Burglary,,,
"Norfolk, Virginia",place,rate,158.6543521,2014,Robbery,,,
"Norfolk, Virginia",place,rate,167.4059757,2013,Robbery,,,
"Norfolk, Virginia",place,count,1097,2015,Burglary,,,
"Norfolk, Virginia",place,rate,198.995662,2016,Robbery,,,
"Norfolk, Virginia",place,rate,200.1606177,2012,Robbery,,,
