name,type,value,value,year,crime_type
"Portland, Oregon",place,rate,5234.767863,2014,Property Crime
"Portland, Oregon",place,rate,599.4612373,2012,Motor Vehicle Theft
"Portland, Oregon",place,count,1776,2013,Aggravated Assault
"Portland, Oregon",place,count,917,2013,Robbery
"Portland, Oregon",place,count,22216,2013,Larceny
"Portland, Oregon",place,count,4471,2012,Burglary
"Portland, Oregon",place,count,31996,2006,Property Crime
"Portland, Oregon",place,count,20,2012,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,26,2008,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,3037,2011,Violent Crime
"Portland, Oregon",place,rate,546,2011,Motor Vehicle Theft
"Portland, Oregon",place,rate,43,2011,Forcible Rape
"Portland, Oregon",place,count,3051,2010,Violent Crime
"Portland, Oregon",place,rate,312,2011,Aggravated Assault
"Portland, Oregon",place,rate,75,2006,Arson
"Portland, Oregon",place,rate,687,2007,Violent Crime
"Portland, Oregon",place,count,4478,2006,Motor Vehicle Theft
"Portland, Oregon",place,rate,482,2013,Violent Crime
"Portland, Oregon",place,count,,2013,Rape (Revised Definition)
"Portland, Oregon",place,rate,4084,2007,Larceny
"Portland, Oregon",place,rate,5030,2010,Property Crime
"Portland, Oregon",place,rate,566,2009,Motor Vehicle Theft
"Portland, Oregon",place,count,63098,2010,All Crimes
"Portland, Oregon",place,rate,316,2012,Aggravated Assault
"Portland, Oregon",place,rate,540,2010,Violent Crime
"Portland, Oregon",place,count,24707,2014,Larceny
"Portland, Oregon",place,count,3696,2009,Burglary
"Portland, Oregon",place,count,2110,2007,Aggravated Assault
"Portland, Oregon",place,count,3585,2012,Motor Vehicle Theft
"Portland, Oregon",place,count,1289,2007,Robbery
"Portland, Oregon",place,rate,417,2006,Aggravated Assault
"Portland, Oregon",place,rate,3498,2009,Larceny
"Portland, Oregon",place,rate,886,2007,Motor Vehicle Theft
"Portland, Oregon",place,rate,677,2013,Burglary
"Portland, Oregon",place,rate,11179,2010,All Crimes
"Portland, Oregon",place,count,22,2010,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,count,66426,2011,All Crimes
