key,id,name,type,variable,value,year,crime_type,place_name
1600000US0662000--2011--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2042.0045341738144,2011,Larceny,"Riverside, CA"
1600000US0662000--2011--Forcible rape--count,1600000US0662000,"Riverside, California",place,count,57.0,2011,Forcible rape,"Riverside, CA"
1600000US0662000--2007--Forcible rape--rate,1600000US0662000,"Riverside, California",place,rate,30.40305767894371,2007,Forcible rape,"Riverside, CA"
1600000US0662000--2014--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,7069.584571126269,2014,All Crimes,"Riverside, CA"
1600000US0662000--2013--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2184.417694036148,2013,Larceny,"Riverside, CA"
1600000US0662000--2014--Rape (revised definition)--rate,1600000US0662000,"Riverside, California",place,rate,44.76401849411338,2014,Rape (revised definition),"Riverside, CA"
1600000US0662000--2006--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,810.3915981660277,2006,Burglary,"Riverside, CA"
1600000US0662000--2007--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,8752.405516651519,2007,All Crimes,"Riverside, CA"
1600000US0662000--2008--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,8713.558506800631,2008,All Crimes,"Riverside, CA"
1600000US0662000--2006--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,278.10234439593023,2006,Robbery,"Riverside, CA"
1600000US0662000--2011--Motor vehicle theft--count,1600000US0662000,"Riverside, California",place,count,1273.0,2011,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2011--Murder and nonnegligent manslaughter--count,1600000US0662000,"Riverside, California",place,count,13.0,2011,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2009--Forcible rape--count,1600000US0662000,"Riverside, California",place,count,98.0,2009,Forcible rape,"Riverside, CA"
1600000US0662000--2013--Aggravated assault--rate,1600000US0662000,"Riverside, California",place,rate,236.0763914127608,2013,Aggravated assault,"Riverside, CA"
1600000US0662000--2008--Burglary--count,1600000US0662000,"Riverside, California",place,count,2208.0,2008,Burglary,"Riverside, CA"
1600000US0662000--2013--Aggravated assault--count,1600000US0662000,"Riverside, California",place,count,747.0,2013,Aggravated assault,"Riverside, CA"
1600000US0662000--2010--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,166.30281025246887,2010,Robbery,"Riverside, CA"
1600000US0662000--2011--Motor vehicle theft--rate,1600000US0662000,"Riverside, California",place,rate,414.0604925140596,2011,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2014--Motor vehicle theft--count,1600000US0662000,"Riverside, California",place,count,1539.0,2014,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2012--Motor vehicle theft--rate,1600000US0662000,"Riverside, California",place,rate,470.7653445262365,2012,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2011--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,7133.3548007272875,2011,All Crimes,"Riverside, CA"
1600000US0662000--2013--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,7569.298059875547,2013,All Crimes,"Riverside, CA"
1600000US0662000--2009--Burglary--count,1600000US0662000,"Riverside, California",place,count,2020.0,2009,Burglary,"Riverside, CA"
1600000US0662000--2012--Motor vehicle theft--count,1600000US0662000,"Riverside, California",place,count,1476.0,2012,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2014--Arson--rate,1600000US0662000,"Riverside, California",place,rate,27.54708830406977,2014,Arson,"Riverside, CA"
1600000US0662000--2012--Violent crime--rate,1600000US0662000,"Riverside, California",place,rate,443.0169807228608,2012,Violent crime,"Riverside, CA"
1600000US0662000--2009--Robbery--count,1600000US0662000,"Riverside, California",place,count,667.0,2009,Robbery,"Riverside, CA"
1600000US0662000--2012--Forcible rape--count,1600000US0662000,"Riverside, California",place,count,76.0,2012,Forcible rape,"Riverside, CA"
1600000US0662000--2009--Larceny--count,1600000US0662000,"Riverside, California",place,count,6239.0,2009,Larceny,"Riverside, CA"
1600000US0662000--2007--Burglary--count,1600000US0662000,"Riverside, California",place,count,2227.0,2007,Burglary,"Riverside, CA"
1600000US0662000--2012--Robbery--count,1600000US0662000,"Riverside, California",place,count,517.0,2012,Robbery,"Riverside, CA"
1600000US0662000--2007--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,744.0396642967872,2007,Burglary,"Riverside, CA"
1600000US0662000--2007--Forcible rape--count,1600000US0662000,"Riverside, California",place,count,91.0,2007,Forcible rape,"Riverside, CA"
1600000US0662000--2009--Arson--count,1600000US0662000,"Riverside, California",place,count,79.0,2009,Arson,"Riverside, CA"
1600000US0662000--2007--Violent crime--rate,1600000US0662000,"Riverside, California",place,rate,632.4504196290159,2007,Violent crime,"Riverside, CA"
1600000US0662000--2013--Larceny--count,1600000US0662000,"Riverside, California",place,count,6912.0,2013,Larceny,"Riverside, CA"
1600000US0662000--2009--Property crime--rate,1600000US0662000,"Riverside, California",place,rate,3198.0418246512672,2009,Property crime,"Riverside, CA"
1600000US0662000--2012--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,164.89544926833625,2012,Robbery,"Riverside, CA"
1600000US0662000--2012--All Crimes--count,1600000US0662000,"Riverside, California",place,count,24479.0,2012,All Crimes,"Riverside, CA"
1600000US0662000--2008--Forcible rape--rate,1600000US0662000,"Riverside, California",place,rate,36.40809128076317,2008,Forcible rape,"Riverside, CA"
1600000US0662000--2010--Robbery--count,1600000US0662000,"Riverside, California",place,count,502.0,2010,Robbery,"Riverside, CA"
1600000US0662000--2006--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,9802.936815420673,2006,All Crimes,"Riverside, CA"
