key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2016--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,495.7844318,2016,Violent crime,"Colorado Springs, CO"
1600000US0816000--2016--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,2301,2016,Violent crime,"Colorado Springs, CO"
1600000US0816000--2016--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,94.15810374,2016,Robbery,"Colorado Springs, CO"
1600000US0816000--2016--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,437,2016,Robbery,"Colorado Springs, CO"
1600000US0816000--2016--Rape (revised definition)--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,96.09728665,2016,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2016--Rape (revised definition)--count,1600000US0816000,"Colorado Springs, Colorado",place,count,446,2016,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2016--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3560.770761,2016,Property crime,"Colorado Springs, CO"
1600000US0816000--2016--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,16526,2016,Property crime,"Colorado Springs, CO"
1600000US0816000--2016--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,5.171154439,2016,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2016--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,24,2016,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2016--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,446.6584646,2016,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2016--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,2073,2016,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2016--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2537.313111,2016,Larceny,"Colorado Springs, CO"
1600000US0816000--2016--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,11776,2016,Larceny,"Colorado Springs, CO"
1600000US0816000--2016--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,576.7991847,2016,Burglary,"Colorado Springs, CO"
1600000US0816000--2016--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,2677,2016,Burglary,"Colorado Springs, CO"
1600000US0816000--2016--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,24.99391312,2016,Arson,"Colorado Springs, CO"
1600000US0816000--2016--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,116,2016,Arson,"Colorado Springs, CO"
1600000US0816000--2016--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,8138.104298,2016,All Crimes,"Colorado Springs, CO"
1600000US0816000--2016--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,37770,2016,All Crimes,"Colorado Springs, CO"
1600000US0816000--2016--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,300.357887,2016,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2016--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1394,2016,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2015--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,438.3192237,2015,Violent crime,"Colorado Springs, CO"
1600000US0816000--2015--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1983,2015,Violent crime,"Colorado Springs, CO"
1600000US0816000--2015--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,83.11045291,2015,Robbery,"Colorado Springs, CO"
1600000US0816000--2015--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,376,2015,Robbery,"Colorado Springs, CO"
1600000US0816000--2015--Rape (revised definition)--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,75.37410756,2015,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2015--Rape (revised definition)--count,1600000US0816000,"Colorado Springs, Colorado",place,count,341,2015,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2015--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3648.01839,2015,Property crime,"Colorado Springs, CO"
1600000US0816000--2015--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,16504,2015,Property crime,"Colorado Springs, CO"
1600000US0816000--2015--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,5.525960965,2015,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2015--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,25,2015,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2015--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,381.7333834,2015,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2015--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1727,2015,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2015--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2732.698216,2015,Larceny,"Colorado Springs, CO"
1600000US0816000--2015--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,12363,2015,Larceny,"Colorado Springs, CO"
1600000US0816000--2015--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,533.5867907,2015,Burglary,"Colorado Springs, CO"
1600000US0816000--2015--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,2414,2015,Burglary,"Colorado Springs, CO"
1600000US0816000--2015--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,27.85084326,2015,Arson,"Colorado Springs, CO"
1600000US0816000--2015--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,126,2015,Arson,"Colorado Springs, CO"
1600000US0816000--2015--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,8200.526071,2015,All Crimes,"Colorado Springs, CO"
1600000US0816000--2015--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,37100,2015,All Crimes,"Colorado Springs, CO"
1600000US0816000--2015--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,274.3087023,2015,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2015--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1241,2015,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2014--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,458.2547663,2014,Violent crime,"Colorado Springs, CO"
1600000US0816000--2014--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,2039,2014,Violent crime,"Colorado Springs, CO"
1600000US0816000--2014--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,90.79692279,2014,Robbery,"Colorado Springs, CO"
1600000US0816000--2014--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,404,2014,Robbery,"Colorado Springs, CO"
1600000US0816000--2014--Rape (revised definition)--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,92.59488166,2014,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2014--Rape (revised definition)--count,1600000US0816000,"Colorado Springs, Colorado",place,count,412,2014,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2014--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3667.611344,2014,Property crime,"Colorado Springs, CO"
1600000US0816000--2014--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,16319,2014,Property crime,"Colorado Springs, CO"
1600000US0816000--2014--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4.494897168,2014,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2014--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,20,2014,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2014--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,369.9300369,2014,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2014--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1646,2014,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2014--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2677.610243,2014,Larceny,"Colorado Springs, CO"
1600000US0816000--2014--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,11914,2014,Larceny,"Colorado Springs, CO"
1600000US0816000--2014--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,620.0710643,2014,Burglary,"Colorado Springs, CO"
1600000US0816000--2014--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,2759,2014,Burglary,"Colorado Springs, CO"
1600000US0816000--2014--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,21.12601669,2014,Arson,"Colorado Springs, CO"
1600000US0816000--2014--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,94,2014,Arson,"Colorado Springs, CO"
1600000US0816000--2014--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,8272.858238,2014,All Crimes,"Colorado Springs, CO"
1600000US0816000--2014--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,36810,2014,All Crimes,"Colorado Springs, CO"
1600000US0816000--2014--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,270.3680647,2014,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2014--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1203,2014,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2013--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,434.0667908,2013,Violent crime,"Colorado Springs, CO"
1600000US0816000--2013--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1893,2013,Violent crime,"Colorado Springs, CO"
1600000US0816000--2013--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,95.84781751,2013,Robbery,"Colorado Springs, CO"
1600000US0816000--2013--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,418,2013,Robbery,"Colorado Springs, CO"
1600000US0816000--2013--Rape (revised definition)--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,84.84136957,2013,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2013--Rape (revised definition)--count,1600000US0816000,"Colorado Springs, Colorado",place,count,370,2013,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2013--Rape (legacy definition)--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,0,2013,Rape (legacy definition),"Colorado Springs, CO"
1600000US0816000--2013--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4167.545654,2013,Property crime,"Colorado Springs, CO"
1600000US0816000--2013--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,18175,2013,Property crime,"Colorado Springs, CO"
1600000US0816000--2013--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,5.96182597,2013,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2013--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,26,2013,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2013--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,442.0923258,2013,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2013--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1928,2013,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2013--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2871.077806,2013,Larceny,"Colorado Springs, CO"
1600000US0816000--2013--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,12521,2013,Larceny,"Colorado Springs, CO"
1600000US0816000--2013--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,854.3755217,2013,Burglary,"Colorado Springs, CO"
1600000US0816000--2013--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,3726,2013,Burglary,"Colorado Springs, CO"
1600000US0816000--2013--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,14.21666193,2013,Arson,"Colorado Springs, CO"
1600000US0816000--2013--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,62,2013,Arson,"Colorado Springs, CO"
1600000US0816000--2013--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9217.441551,2013,All Crimes,"Colorado Springs, CO"
1600000US0816000--2013--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,40198,2013,All Crimes,"Colorado Springs, CO"
1600000US0816000--2013--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,247.4157777,2013,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2013--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1079,2013,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2012--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,455.2531073,2012,Violent crime,"Colorado Springs, CO"
1600000US0816000--2012--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1968,2012,Violent crime,"Colorado Springs, CO"
1600000US0816000--2012--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,120.9844386,2012,Robbery,"Colorado Springs, CO"
1600000US0816000--2012--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,523,2012,Robbery,"Colorado Springs, CO"
1600000US0816000--2012--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4140.536264,2012,Property crime,"Colorado Springs, CO"
1600000US0816000--2012--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,17899,2012,Property crime,"Colorado Springs, CO"
1600000US0816000--2012--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4.163900372,2012,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2012--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,18,2012,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2012--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,416.8526928,2012,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2012--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1802,2012,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2012--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2881.419057,2012,Larceny,"Colorado Springs, CO"
